hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
7866,48.0,19.0,
7867,34.0,18.0,
7868,,18.0,
7869,,22.0,
7870,7.0,20.0,
7871,,15.0,
7872,5.0,17.0,
7873,4.0,18.0,
7874,,5.0,
7875,5.0,15.0,
7876,6.0,13.0,
7877,2.0,14.0,
7878,,7.0,
7879,,9.0,
7880,,12.0,
7881,3.0,15.0,
7882,6.0,11.0,
7883,8.0,9.0,
7884,13.0,,
7885,16.0,9.0,
7886,11.0,11.0,
7887,10.0,15.0,
7888,6.0,18.0,
7889,9.0,29.0,
7890,4.0,32.0,
7891,10.0,29.0,
7892,18.0,35.0,
7893,21.0,41.0,
7894,9.0,43.0,
7895,4.0,49.0,
7896,3.0,48.0,
7897,,52.0,
7898,7.0,53.0,
7899,10.0,41.0,
7900,,31.0,
7901,3.0,31.0,
7902,,43.0,
7903,5.0,29.0,
7904,,13.0,
7905,,7.0,
7906,16.0,11.0,
7907,30.0,7.0,
7908,36.0,6.0,
7909,37.0,7.0,
7910,27.0,2.0,
7911,31.0,2.0,
7912,38.0,,
7913,27.0,3.0,
7914,33.0,8.0,
7915,24.0,13.0,
7916,28.0,7.0,
7917,26.0,7.0,
7918,36.0,11.0,
7919,50.0,7.0,
7920,63.0,,
7921,74.0,4.0,
7922,89.0,,
7923,82.0,,
7924,68.0,,
7925,47.0,6.0,
7926,38.0,,
7927,44.0,5.0,
7928,49.0,7.0,
7929,52.0,4.0,
7930,36.0,6.0,
7931,21.0,,
7932,27.0,4.0,
7933,23.0,10.0,
7934,11.0,9.0,
7935,18.0,10.0,
7936,33.0,,
7937,21.0,,
7938,,10.0,
7939,3.0,16.0,
7940,7.0,15.0,
7941,17.0,30.0,
7942,39.0,31.0,
7943,43.0,31.0,
7944,66.0,30.0,
7945,80.0,21.0,
7946,63.0,16.0,
7947,54.0,18.0,
7948,43.0,16.0,
7949,42.0,10.0,
7950,55.0,12.0,
7951,54.0,14.0,
7952,61.0,19.0,
7953,50.0,19.0,
7954,54.0,24.0,
7955,65.0,21.0,
7956,49.0,11.0,
7957,30.0,9.0,
7958,14.0,2.0,
7959,7.0,7.0,
7960,13.0,5.0,
7961,22.0,17.0,
7962,19.0,28.0,
7963,20.0,24.0,
7964,27.0,26.0,
7965,19.0,24.0,
7966,14.0,20.0,
7967,17.0,11.0,
7968,11.0,14.0,
7969,17.0,13.0,59.0
7970,14.0,6.0,68.0
7971,18.0,5.0,82.0
7972,13.0,11.0,83.0
7973,14.0,10.0,80.0
7974,18.0,12.0,69.0
7975,19.0,7.0,45.0
7976,29.0,7.0,38.0
7977,34.0,9.0,35.0
7978,43.0,9.0,30.0
7979,55.0,8.0,55.0
7980,63.0,7.0,28.0
7981,27.0,,
7982,20.0,10.0,
7983,50.0,26.0,
7984,48.0,28.0,
7985,53.0,31.0,
7986,35.0,,
7987,19.0,40.0,
7988,19.0,,
7989,17.0,,
7990,26.0,11.0,
7991,37.0,16.0,
7992,54.0,17.0,
7993,64.0,23.0,
7994,73.0,25.0,
7995,68.0,28.0,
7996,60.0,27.0,
7997,64.0,25.0,
7998,55.0,25.0,
7999,64.0,20.0,
8000,58.0,15.0,
8001,64.0,20.0,
8002,65.0,15.0,
8003,52.0,23.0,
8004,21.0,14.0,
8005,13.0,14.0,
8006,10.0,16.0,
8007,11.0,27.0,
8008,4.0,42.0,
8009,,51.0,
8010,,40.0,
8011,5.0,27.0,
8012,13.0,25.0,
8013,18.0,36.0,
8014,27.0,49.0,
8015,15.0,48.0,
8016,7.0,56.0,
8017,,,
8018,12.0,47.0,
8019,12.0,65.0,
8020,,57.0,
8021,11.0,49.0,
8022,10.0,40.0,
8023,12.0,37.0,
8024,18.0,32.0,
8025,26.0,26.0,
8026,13.0,16.0,
8027,10.0,10.0,
8028,17.0,11.0,
8029,15.0,44.0,
8030,22.0,18.0,
8031,16.0,,
8032,22.0,,
8033,27.0,5.0,
8034,38.0,17.0,
8035,34.0,19.0,
8036,25.0,23.0,
8037,14.0,30.0,
8038,22.0,33.0,
8039,26.0,33.0,
8040,19.0,41.0,
8041,10.0,54.0,
8042,6.0,30.0,
8043,5.0,34.0,
8044,11.0,55.0,
8045,17.0,46.0,
8046,21.0,27.0,
8047,23.0,13.0,
